command,mean,stddev,median,user,system,min,max
target_grk/bin/x86_64/EraseUnused 10,0.0005393609600000005,0.00020600429957975255,0.0005861172600000004,0.00044371999999999977,0.0008615299999999999,0.00022304026000000057,0.0008216942600000005
target_grk/bin/x86_64/EraseUnused 100,0.0015744659600000009,0.0005795195888210722,0.0013964702600000006,0.0007739759999999999,0.0015520759999999999,0.0006975452600000004,0.002466394260000001
target_grk/bin/x86_64/EraseUnused 1000,0.004795773760000002,0.0006881677931843931,0.004468090260000002,0.0036823400000000005,0.0012499839999999998,0.003990575260000001,0.005861500260000001
target_grk/bin/x86_64/EraseUnused 10000,0.11053441986000001,0.005089486899166996,0.11265570576,0.10777404000000002,0.0024100219999999995,0.10016420626,0.11516868126
